                                  UID     Pred_19Q2     Pred_19Q3
287            1-10M46-10228-PC Value    20078.5333    42413.6501
288            1-10M6L-21132-PC Value   147920.0152   100902.1748
289           1-11U4M-24-BPS Indirect   113555.1113   237017.3531
290           1-10M46-12820-OPS HW A3      449.7832   -29821.9586
291        1-10LZ6-21541-BPS Indirect   162110.5879  -174224.2956
292 1-10LQI-15383-BPS Attach Indirect    30722.9800    56723.5118
293           1-10M6L-22403-OPS HW A4   -79471.7908    21660.0966
294        1-10MDH-21749-BPS Indirect   314584.1880   315830.4675
295        1-10MDH-24002-BPS Indirect    34069.9509    21729.1570
296 1-10M99-16599-BPS Attach Indirect    67150.7820   -88566.4695
297         1-10LQI-5579-BPS Indirect    22852.7350   -25999.8274
298           1-10LQI-14640-OPS HW A4      858.8953    -3579.4908
299           1-11H6P-124-Print Value    43558.6035   -46435.3167
300            1-10MEH-1997-OPS HW A4      384.5637     1175.0480
301            1-10MDH-9435-OPS HW A4   190761.9575    90552.4558
302        1-10LT8-23224-BPS Indirect  -349543.6394  -173969.5694
303 1-10M99-10270-BPS Attach Indirect    61907.3236    25617.4355
304         1-10M99-5642-BPS Indirect   317299.3233   414056.0588
305        1-10M99-19519-BPS Indirect   141204.7427     4829.7910
306      1-10M6L-11152-BPS Attach STM  -819342.5935   271405.3591
307         1-10M6L-20882-Print Value   341390.5623   416074.6596
308           1-10MDH-14071-OPS HW A4    64803.7084    34870.2777
309            1-10LZ6-3283-OPS HW A4    53275.7821    32188.1349
310  1-10MDH-8582-BPS Attach Indirect   209102.1078   182020.8508
311         1-10M99-10556-Print Value   -82771.0615 -1084836.7834
312            1-10M46-10747-PC Value   122400.3908   150063.8242
313           1-10LQI-13931-OPS HW A3   176270.6939    32114.4088
314      1-XHZRLS-BPS Attach Indirect    53347.4076    56251.1575
315           1-10MEH-667-Print Value   -79877.3469    49904.6780
316         1-10M99-8486-BPS Indirect   311138.1237   262880.3738
317        1-10LZ6-21670-BPS Indirect    26641.9133   -17348.2739
318        1-10M46-10795-BPS Indirect   450667.5611   -65811.0104
319            1-10M99-7345-OPS HW A4  -149086.9792  -379307.1679
320        1-10MDH-13607-BPS Indirect    81991.9368   118536.7304
321        1-10LQI-11891-BPS Indirect   -47911.7092  -263245.1685
322            1-10LQI-10904-PC Value    24409.4289    17050.8162
323            1-10LZ6-1935-OPS HW A4    48075.1505    -6032.0293
324 1-10LQI-24180-BPS Attach Indirect    16225.7954    17902.6660
325            1-10M46-21475-PC Value   542066.8434   619681.5750
326  991000041013-BPS Attach Indirect    -1671.7334   -18212.3199
327        1-10LT8-10076-BPS Indirect   633554.0604    27139.4374
328        1-10M99-23083-BPS Indirect     9706.2766     3961.7308
329      1-10M6L-20022-BPS Attach STM   962690.0368   151431.3160
330         1-10MDH-9255-BPS Indirect  -105617.8576  -130781.2182
331 1-10LZ6-18292-BPS Attach Indirect    58249.8898    56973.0121
332       1-10LQI-2044-BPS Attach STM   292853.5810   488554.7487
333          1-10LZ6-8395-Print Value   158938.7832   -35901.1340
" [ reached 'max' / getOption(""max.print"") -- omitted 2693 rows ]"
